Order Number,Order Date,Year,Month,Month Number,Day of Week,Day Type,Season,Customer ID,Customer Name,Age Group,Gender,City,State,Membership Tier,Mall Name,Store Name,Product Category,Floor Level,Items Purchased,Unit Price ($),Subtotal ($),Discount (%),Discount Amount ($),Tax Rate (%),Tax Amount ($),Total Amount ($),Payment Method,Promo Used,Promo Code,Visit Purpose,Visit Duration (mins),Parking Type,Satisfaction Score,Returned Item,Return Reason,Online Review Posted,Loyalty Points Earned
ORD-2024-00027,11/30/2023,2023,November,11,Thursday,Weekday,Fall,CUST93307,Dorothy White,55-64,Male,Los Angeles,CA,Platinum,Lakewood Center,TopShop,Fashion,Ground,8,355.12,2840.96,5,142.05,10.14,273.67,2972.58,Buy Now Pay Later,No,,Entertainment,172,Paid,5,No,,No,13099
ORD-2022-00028,7/12/2024,2024,July,7,Friday,Weekday,Summer,CUST59674,Michelle Nelson,35-44,Male,San Jose,CA,Silver,Lakewood Center,Skechers,Sports,Ground,8,426.22,3409.76,0,0,6.48,220.95,3630.71,Cash,Yes,PROMO110,Entertainment,86,Free,5,No,,No,9533
ORD-2023-00029,9/2/2024,2024,September,9,Monday,Weekday,Fall,CUST63005,Charles Anderson,45-54,Non-binary,Los Angeles,CA,Gold,Westfield Grand,Timezone,Entertainment,2nd,5,333.66,1668.3,5,83.42,8.87,140.58,1725.46,Cash,No,,Window Shopping,205,Free,4,No,,No,3903
ORD-2024-00030,1/15/2023,2023,January,1,Sunday,Weekend,Winter,CUST78765,Edward Nguyen,35-44,Female,Phoenix,AZ,Gold,Lakewood Center,Adidas,Sports,Ground,2,417.15,834.3,0,0,7.53,62.82,897.12,Cash,No,,Shopping,196,Paid,4,No,,No,4013
ORD-2022-00031,8/6/2023,2023,August,8,Sunday,Weekend,Summer,CUST43092,Elizabeth Brown,35-44,Female,Philadelphia,PA,Diamond,Lakewood Center,Timezone,Entertainment,Ground,8,61.47,491.76,0,0,8.44,41.5,533.26,Gift Card,No,,Leisure,190,Valet,2,No,,No,2163
ORD-2023-00032,4/8/2023,2023,April,4,Saturday,Weekend,Spring,CUST87139,Donald Martin,35-44,Male,Charlotte,NC,Diamond,Lakewood Center,The Children's Place,Kids,1st,5,286.47,1432.35,0,0,11.72,167.87,1600.22,Credit Card,Yes,PROMO277,Dining,175,Free,3,No,,No,6012
ORD-2024-00033,8/14/2023,2023,August,8,Monday,Weekday,Summer,CUST44675,Amanda Anderson,35-44,Male,Los Angeles,CA,Platinum,Lakewood Center,LUSH,Beauty,1st,11,296.95,3266.45,20,653.29,6.38,166.72,2779.88,Credit Card,No,,Gift Buying,72,Free,4,No,,Yes,11107
ORD-2022-00034,9/12/2022,2022,September,9,Monday,Weekday,Fall,CUST74722,Paul Wright,35-44,Female,Phoenix,AZ,Silver,Eastgate Mall,Cinnabon,Entertainment,3rd,10,24.73,247.3,5,12.37,7.26,17.06,251.99,Cash,No,,Shopping,38,Free,3,No,,No,1079
ORD-2023-00035,12/25/2022,2022,December,12,Sunday,Weekend,Winter,CUST86720,Sarah Lopez,35-44,Male,Charlotte,NC,Silver,Lakewood Center,Virtual Reality Zone,Entertainment,3rd,8,484.68,3877.44,10,387.74,7.86,274.29,3763.99,Cash,No,,Leisure,41,Valet,5,No,,No,12046
ORD-2024-00036,10/25/2023,2023,October,10,Wednesday,Weekday,Fall,CUST81118,James Nelson,35-44,Male,Columbus,OH,Silver,Northpark Mall,Bose,Electronics,Ground,1,97.85,97.85,5,4.89,10.3,9.57,102.53,Buy Now Pay Later,Yes,PROMO394,Window Shopping,209,Paid,2,No,,No,501
ORD-2022-00037,11/21/2022,2022,November,11,Monday,Weekday,Fall,CUST39451,Mark Garcia,55-64,Female,Dallas,TX,Diamond,Westfield Grand,L'Occitane,Beauty,2nd,2,233.42,466.84,0,0,10.83,50.56,517.4,Mobile Pay,No,,Leisure,89,Free,4,No,,No,1311
ORD-2023-00038,10/7/2022,2022,October,10,Friday,Weekday,Fall,CUST10336,Paul Moore,25-34,Male,Philadelphia,PA,Bronze,Eastgate Mall,Microsoft Store,Electronics,3rd,5,419.55,2097.75,10,209.78,9.62,181.62,2069.59,Debit Card,No,,Window Shopping,152,Valet,4,No,,No,10188
ORD-2024-00039,4/21/2024,2024,April,4,Sunday,Weekend,Spring,CUST96991,Anthony Harris,45-54,Male,Jacksonville,FL,Platinum,Lakewood Center,Uniqlo,Fashion,2nd,11,490.5,5395.5,10,539.55,5.26,255.42,5111.37,Gift Card,No,,Gift Buying,99,Free,5,No,,No,13493
ORD-2022-00040,8/19/2024,2024,August,8,Monday,Weekday,Summer,CUST20527,Betty Adams,18-24,Female,Jacksonville,FL,Platinum,Southshore Pavilion,Bath & Body Works,Beauty,2nd,11,430.37,4734.07,5,236.7,7.22,324.71,4822.08,Buy Now Pay Later,Yes,PROMO800,Window Shopping,238,Valet,4,No,,No,13192
ORD-2023-00041,7/25/2022,2022,July,7,Monday,Weekday,Summer,CUST52516,Mary Williams,25-34,Female,Charlotte,NC,Platinum,The Royal Galleria,Dave & Busters,Entertainment,1st,5,182.44,912.2,5,45.61,6.71,58.15,924.74,Mobile Pay,Yes,PROMO991,Gift Buying,189,Paid,5,No,,No,3081
ORD-2024-00042,7/30/2024,2024,July,7,Tuesday,Weekday,Summer,CUST98815,Sandra Jackson,25-34,Female,Charlotte,NC,Silver,Westfield Grand,LUSH,Beauty,1st,2,223.66,447.32,5,22.37,9.11,38.71,463.66,Buy Now Pay Later,Yes,PROMO493,Window Shopping,191,Free,4,No,,No,1129
ORD-2022-00043,2/14/2022,2022,February,2,Monday,Weekday,Winter,CUST16428,Amanda Roberts,35-44,Female,San Jose,CA,Diamond,Westfield Grand,Kay Jewelers,Jewelry,2nd,12,250.88,3010.56,25,752.64,7,158.05,2415.97,Debit Card,No,,Gift Buying,220,Paid,4,No,,No,10517
ORD-2023-00044,3/22/2022,2022,March,3,Tuesday,Weekday,Spring,CUST27224,Nancy Campbell,45-54,Female,San Jose,CA,Bronze,Westfield Grand,The Body Shop,Beauty,Ground,5,166.73,833.65,5,41.68,6.41,50.77,842.74,Gift Card,Yes,PROMO944,Entertainment,150,Valet,4,No,,No,3776
ORD-2024-00045,6/4/2022,2022,June,6,Saturday,Weekend,Summer,CUST21836,Donna White,35-44,Female,Columbus,OH,Platinum,Eastgate Mall,KFC,Food & Beverage,Ground,1,135.91,135.91,0,0,7.58,10.3,146.21,Buy Now Pay Later,No,,Leisure,82,Free,4,No,,Yes,663
ORD-2022-00046,3/30/2023,2023,March,3,Thursday,Weekday,Spring,CUST28320,Mark Davis,25-34,Male,Austin,TX,Bronze,The Royal Galleria,LG Studio,Electronics,2nd,1,155.66,155.66,10,15.57,5.68,7.96,148.05,Gift Card,No,,Dining,114,Free,4,No,,No,239
ORD-2023-00047,9/29/2024,2024,September,9,Sunday,Weekend,Fall,CUST38477,George White,35-44,Prefer not to say,New York,NY,Silver,The Royal Galleria,Spencer's,Books & Gifts,Ground,4,428.45,1713.8,0,0,9.8,167.95,1881.75,Gift Card,No,,Leisure,106,Paid,2,No,,No,3478
ORD-2024-00048,4/14/2022,2022,April,4,Thursday,Weekday,Spring,CUST18992,Kenneth Wilson,18-24,Male,Fort Worth,TX,Platinum,Blue Harbor Center,Pottery Barn,Home & Living,Ground,9,107.54,967.86,0,0,11.09,107.34,1075.2,Cash,No,,Dining,216,Paid,5,Yes,Defective,No,4801
ORD-2022-00049,5/3/2023,2023,May,5,Wednesday,Weekday,Spring,CUST26614,Thomas Brown,35-44,Non-binary,Chicago,IL,Gold,Westfield Grand,Things Remembered,Books & Gifts,3rd,9,61.26,551.34,0,0,8.14,44.88,596.22,Cash,No,,Gift Buying,166,Paid,3,No,,Yes,1839
ORD-2023-00050,5/5/2022,2022,May,5,Thursday,Weekday,Spring,CUST68138,Michael Young,45-54,Female,Austin,TX,Bronze,Eastgate Mall,Timezone,Entertainment,2nd,2,164.45,328.9,0,0,5.88,19.34,348.24,Gift Card,No,,Leisure,164,Free,4,No,,No,486
ORD-2024-00051,3/17/2023,2023,March,3,Friday,Weekday,Spring,CUST62262,Lisa Robinson,65+,Female,San Antonio,TX,Silver,Pinnacle Plaza,Tiffany & Co.,Jewelry,Ground,2,159.71,319.42,5,15.97,6.78,20.57,324.02,Debit Card,Yes,PROMO198,Leisure,136,Free,2,No,,No,401
ORD-2022-00052,9/8/2022,2022,September,9,Thursday,Weekday,Fall,CUST47700,Edward Brown,65+,Female,Columbus,OH,Gold,Eastgate Mall,Kay Jewelers,Jewelry,3rd,6,56.28,337.68,10,33.77,6.08,18.48,322.39,Mobile Pay,No,,Dining,231,Paid,3,No,,No,1412
ORD-2023-00053,2/23/2022,2022,February,2,Wednesday,Weekday,Winter,CUST50499,Sarah Hall,45-54,Female,Chicago,IL,Diamond,Westfield Grand,Things Remembered,Books & Gifts,1st,6,8.02,48.12,25,12.03,8.96,3.23,39.32,Mobile Pay,Yes,PROMO643,Shopping,51,Free,5,No,,No,97
ORD-2024-00054,6/23/2022,2022,June,6,Thursday,Weekday,Summer,CUST98338,Michelle Brown,25-34,Female,Fort Worth,TX,Bronze,Blue Harbor Center,Forever 21,Fashion,2nd,8,332.66,2661.28,10,266.13,8.09,193.77,2588.92,Cash,Yes,PROMO794,Dining,208,Free,4,No,,No,3059
ORD-2022-00055,1/16/2022,2022,January,1,Sunday,Weekend,Winter,CUST43491,David Carter,35-44,Male,Fort Worth,TX,Bronze,Pinnacle Plaza,Puma,Sports,2nd,2,8.83,17.66,15,2.65,6.23,0.94,15.95,Mobile Pay,No,,Gift Buying,195,Free,3,No,,No,43
ORD-2023-00056,10/4/2023,2023,October,10,Wednesday,Weekday,Fall,CUST64747,Melissa Green,55-64,Female,San Antonio,TX,Bronze,Southshore Pavilion,Spencer's,Books & Gifts,1st,7,15.32,107.24,5,5.36,10.61,10.81,112.69,Gift Card,No,,Window Shopping,227,Free,5,No,,Yes,148
ORD-2024-00057,3/30/2023,2023,March,3,Thursday,Weekday,Spring,CUST79547,Kevin Davis,35-44,Female,Dallas,TX,Silver,Sunrise Mall,Pottery Barn,Home & Living,Ground,6,178.79,1072.74,30,321.82,9.52,71.49,822.41,Debit Card,No,,Dining,41,Paid,3,No,,No,3364
ORD-2022-00058,7/8/2024,2024,July,7,Monday,Weekday,Summer,CUST71462,Donald Jones,35-44,Non-binary,Chicago,IL,Silver,Summit Crossing,Things Remembered,Books & Gifts,2nd,5,399.18,1995.9,10,199.59,7.46,134,1930.31,Credit Card,Yes,PROMO984,Entertainment,133,Free,4,Yes,Changed mind,No,4898
ORD-2023-00059,3/26/2022,2022,March,3,Saturday,Weekend,Spring,CUST75715,Joshua Walker,25-34,Female,Philadelphia,PA,Bronze,Pinnacle Plaza,Virtual Reality Zone,Entertainment,1st,1,228.01,228.01,20,45.6,10.86,19.81,202.22,Buy Now Pay Later,No,,Shopping,144,Paid,4,Yes,Wrong item,No,944
ORD-2024-00060,4/18/2022,2022,April,4,Monday,Weekday,Spring,CUST60667,Donna Baker,55-64,Male,Los Angeles,CA,Bronze,Summit Crossing,IKEA,Home & Living,1st,12,426.53,5118.36,30,1535.51,9.22,330.34,3913.19,Debit Card,No,,Entertainment,35,Paid,4,No,,No,13227
ORD-2022-00061,2/11/2024,2024,February,2,Sunday,Weekend,Winter,CUST65496,Carol Nelson,18-24,Male,Los Angeles,CA,Silver,Northpark Mall,Pottery Barn,Home & Living,3rd,1,184.49,184.49,0,0,6.5,11.99,196.48,Mobile Pay,Yes,PROMO907,Dining,72,Paid,5,No,,Yes,890
ORD-2023-00062,9/26/2022,2022,September,9,Monday,Weekday,Fall,CUST91885,Elizabeth Hall,55-64,Male,Chicago,IL,Platinum,Blue Harbor Center,Spencer's,Books & Gifts,Food Court,3,361.99,1085.97,0,0,7.55,81.99,1167.96,Buy Now Pay Later,No,,Dining,128,Free,4,No,,No,4832
ORD-2024-00063,6/21/2024,2024,June,6,Friday,Weekday,Summer,CUST31241,Kimberly Clark,35-44,Non-binary,Dallas,TX,Platinum,Eastgate Mall,Cinnabon,Entertainment,Food Court,10,73.51,735.1,0,0,9.49,69.76,804.86,Cash,Yes,PROMO185,Gift Buying,41,Free,5,No,,No,1279
ORD-2022-00064,3/31/2023,2023,March,3,Friday,Weekday,Spring,CUST75799,Patricia Sanchez,35-44,Female,San Antonio,TX,Silver,Westfield Grand,Cinnabon,Entertainment,3rd,7,497.29,3481.03,5,174.05,5.2,171.96,3478.94,Credit Card,Yes,PROMO949,Leisure,181,Paid,4,No,,No,10006
ORD-2023-00065,2/8/2022,2022,February,2,Tuesday,Weekday,Winter,CUST79176,Edward Hill,25-34,Male,Dallas,TX,Silver,Blue Harbor Center,MAC Cosmetics,Beauty,2nd,5,122.63,613.15,0,0,6.67,40.9,654.05,Buy Now Pay Later,No,,Gift Buying,132,Paid,2,No,,No,2533
ORD-2024-00066,12/24/2023,2023,December,12,Sunday,Weekend,Winter,CUST21221,Brian Nelson,25-34,Female,Chicago,IL,Silver,Eastgate Mall,Reebok,Sports,Ground,6,38.5,231,10,23.1,8.55,17.78,225.68,Gift Card,No,,Gift Buying,20,Free,4,No,,No,937
ORD-2022-00067,8/1/2022,2022,August,8,Monday,Weekday,Summer,CUST54374,Matthew Wright,35-44,Prefer not to say,New York,NY,Platinum,Blue Harbor Center,Things Remembered,Books & Gifts,Ground,3,416.04,1248.12,15,187.22,11.87,125.93,1186.83,Mobile Pay,Yes,PROMO306,Leisure,61,Free,5,Yes,Wrong item,Yes,5617
ORD-2023-00068,8/27/2024,2024,August,8,Tuesday,Weekday,Summer,CUST16265,Matthew Roberts,45-54,Female,Phoenix,AZ,Platinum,Pinnacle Plaza,Sephora,Beauty,Food Court,6,140.24,841.44,20,168.29,8.06,54.26,727.41,Mobile Pay,No,,Leisure,127,Free,5,No,,No,2238
ORD-2024-00069,6/11/2022,2022,June,6,Saturday,Weekend,Summer,CUST23447,Charles Lee,45-54,Male,Dallas,TX,Bronze,Blue Harbor Center,Zales,Jewelry,3rd,11,151.34,1664.74,5,83.24,10.02,158.47,1739.97,Debit Card,No,,Leisure,128,Paid,4,Yes,Changed mind,No,2139
ORD-2022-00070,11/16/2024,2024,November,11,Saturday,Weekend,Fall,CUST67432,Joshua Baker,25-34,Male,Columbus,OH,Bronze,Blue Harbor Center,Starbucks,Food & Beverage,Ground,2,121.82,243.64,15,36.55,7.54,15.61,222.7,Gift Card,No,,Shopping,169,Free,3,No,,No,549
ORD-2023-00071,8/21/2022,2022,August,8,Sunday,Weekend,Summer,CUST25435,Anthony Scott,55-64,Male,Dallas,TX,Bronze,Lakewood Center,Forever 21,Fashion,Ground,5,353.5,1767.5,0,0,9.28,164.02,1931.52,Buy Now Pay Later,No,,Window Shopping,66,Free,3,No,,No,7200
ORD-2024-00072,12/13/2023,2023,December,12,Wednesday,Weekday,Winter,CUST93584,William Rivera,18-24,Male,Columbus,OH,Bronze,The Royal Galleria,Microsoft Store,Electronics,Ground,6,256.83,1540.98,0,0,6.41,98.78,1639.76,Debit Card,No,,Dining,217,Valet,4,No,,No,7439
ORD-2022-00073,9/7/2024,2024,September,9,Saturday,Weekend,Fall,CUST26426,Kenneth Jones,25-34,Male,Columbus,OH,Diamond,Eastgate Mall,The Children's Place,Kids,Ground,11,41.71,458.81,10,45.88,8.62,35.59,448.52,Debit Card,Yes,PROMO614,Gift Buying,178,Free,4,No,,No,723
ORD-2023-00074,4/7/2023,2023,April,4,Friday,Weekday,Spring,CUST35729,Jennifer Taylor,18-24,Female,Columbus,OH,Gold,The Royal Galleria,Bed Bath & Beyond,Home & Living,1st,9,140.85,1267.65,15,190.15,9.3,100.21,1177.71,Credit Card,Yes,PROMO774,Gift Buying,179,Valet,3,No,,No,5530
ORD-2024-00075,6/16/2022,2022,June,6,Thursday,Weekday,Summer,CUST84991,Susan Roberts,35-44,Male,Austin,TX,Silver,The Royal Galleria,Tommy Hilfiger,Fashion,Ground,11,19.99,219.89,25,54.97,8.82,14.55,179.47,Buy Now Pay Later,No,,Entertainment,138,Paid,3,No,,No,477
ORD-2022-00076,10/22/2022,2022,October,10,Saturday,Weekend,Fall,CUST58567,David Carter,55-64,Female,San Antonio,TX,Silver,Summit Crossing,Crate & Barrel,Home & Living,Food Court,2,162.96,325.92,10,32.59,6.87,20.15,313.48,Debit Card,No,,Dining,39,Valet,2,No,,No,1333
ORD-2023-00077,1/24/2023,2023,January,1,Tuesday,Weekday,Winter,CUST75191,Ashley Martin,18-24,Male,San Diego,CA,Bronze,Northpark Mall,Panda Express,Food & Beverage,Ground,7,255.2,1786.4,30,535.92,6.51,81.41,1331.89,Cash,No,,Shopping,27,Free,4,No,,No,1904
ORD-2024-00078,1/20/2024,2024,January,1,Saturday,Weekend,Winter,CUST83638,Patricia Torres,45-54,Male,San Antonio,TX,Bronze,Westfield Grand,Kay Jewelers,Jewelry,1st,9,147.86,1330.74,5,66.54,8.15,103.03,1367.23,Gift Card,Yes,PROMO199,Entertainment,226,Paid,5,No,,No,6502
ORD-2022-00079,11/8/2024,2024,November,11,Friday,Weekday,Fall,CUST53652,Robert Rodriguez,45-54,Male,New York,NY,Platinum,Westfield Grand,Zales,Jewelry,3rd,9,231.21,2080.89,15,312.13,8.61,152.29,1921.05,Cash,No,,Gift Buying,96,Free,3,No,,No,6011
ORD-2023-00080,2/4/2022,2022,February,2,Friday,Weekday,Winter,CUST92478,Emily Martin,25-34,Female,San Antonio,TX,Bronze,Sunrise Mall,Crate & Barrel,Home & Living,1st,8,136.44,1091.52,15,163.73,11.8,109.48,1037.27,Gift Card,Yes,PROMO744,Gift Buying,73,Paid,5,No,,No,4446
ORD-2024-00081,8/14/2022,2022,August,8,Sunday,Weekend,Summer,CUST64127,Mark Martinez,35-44,Female,Philadelphia,PA,Gold,Lakewood Center,Nike,Sports,1st,7,253.4,1773.8,15,266.07,8.3,125.14,1632.87,Buy Now Pay Later,No,,Leisure,30,Free,5,No,,No,7881
ORD-2022-00082,12/27/2023,2023,December,12,Wednesday,Weekday,Winter,CUST83149,Jessica Moore,65+,Female,Houston,TX,Bronze,Lakewood Center,L'Occitane,Beauty,2nd,5,386.73,1933.65,15,290.05,9.83,161.57,1805.17,Mobile Pay,No,,Entertainment,137,Free,4,No,,No,4546
ORD-2023-00083,10/27/2022,2022,October,10,Thursday,Weekday,Fall,CUST67983,Jennifer Thompson,18-24,Male,Jacksonville,FL,Gold,The Royal Galleria,Sephora,Beauty,1st,12,242.14,2905.68,0,0,8.77,254.83,3160.51,Gift Card,No,,Leisure,84,Paid,3,No,,No,11225
ORD-2024-00084,8/25/2024,2024,August,8,Sunday,Weekend,Summer,CUST95575,William Clark,55-64,Male,Dallas,TX,Diamond,Westfield Grand,Best Buy,Electronics,3rd,8,241.34,1930.72,0,0,11.75,226.86,2157.58,Cash,No,,Entertainment,180,Paid,2,No,,No,2479
